"","year","iso3c","sector","co2e_emissions"
"57",1994,"AFG","Total including LUCF",10.88
"58",1994,"AFG","Total excluding LUCF",13.27
"59",1994,"AFG","Energy",3.1
"60",1994,"AFG","Other Fuel Combustion",1.72
"61",1994,"AFG","Agriculture",8.52
"62",1994,"AFG","Transportation",0.71
"63",1994,"AFG","Waste",1.58
"64",1994,"AFG","Manufacturing/Construction",0.36
"65",1994,"AFG","Fugitive Emissions",0.12
"66",1994,"AFG","Industrial Processes",0.07
"67",1994,"AFG","Electricity/Heat",0.16
"68",1994,"AFG","Land-Use Change and Forestry",-2.39
"69",1994,"AFG","Building",0.02
"70",1994,"AFG","Bunker Fuels",0.02
"71",1995,"AFG","Total including LUCF",11.09
"72",1995,"AFG","Total excluding LUCF",13.48
"73",1995,"AFG","Energy",2.78
"74",1995,"AFG","Other Fuel Combustion",1.49
"75",1995,"AFG","Agriculture",8.96
"76",1995,"AFG","Transportation",0.68
"77",1995,"AFG","Waste",1.67
"78",1995,"AFG","Manufacturing/Construction",0.34
"79",1995,"AFG","Fugitive Emissions",0.08
"80",1995,"AFG","Industrial Processes",0.07
"81",1995,"AFG","Electricity/Heat",0.16
"82",1995,"AFG","Land-Use Change and Forestry",-2.39
"83",1995,"AFG","Building",0.02
"84",1995,"AFG","Bunker Fuels",0.02
"85",1996,"AFG","Total including LUCF",12.05
"86",1996,"AFG","Total excluding LUCF",14.44
"87",1996,"AFG","Energy",2.65
"88",1996,"AFG","Other Fuel Combustion",1.43
"89",1996,"AFG","Agriculture",9.98
"90",1996,"AFG","Transportation",0.64
"91",1996,"AFG","Waste",1.73
"92",1996,"AFG","Manufacturing/Construction",0.32
"93",1996,"AFG","Fugitive Emissions",0.09
"94",1996,"AFG","Industrial Processes",0.08
"95",1996,"AFG","Electricity/Heat",0.16
"96",1996,"AFG","Land-Use Change and Forestry",-2.39
"97",1996,"AFG","Building",0.01
"98",1996,"AFG","Bunker Fuels",0.02
"99",1997,"AFG","Total including LUCF",12.95
"100",1997,"AFG","Total excluding LUCF",15.34
"101",1997,"AFG","Energy",2.51
"102",1997,"AFG","Other Fuel Combustion",1.37
"103",1997,"AFG","Agriculture",10.95
"104",1997,"AFG","Transportation",0.59
"105",1997,"AFG","Waste",1.79
"106",1997,"AFG","Manufacturing/Construction",0.3
"107",1997,"AFG","Fugitive Emissions",0.09
"108",1997,"AFG","Industrial Processes",0.1
"109",1997,"AFG","Electricity/Heat",0.16
"110",1997,"AFG","Land-Use Change and Forestry",-2.39
"111",1997,"AFG","Building",0.01
"112",1997,"AFG","Bunker Fuels",0.02
"113",1998,"AFG","Total including LUCF",13.71
"114",1998,"AFG","Total excluding LUCF",16.1
"115",1998,"AFG","Energy",2.39
"116",1998,"AFG","Other Fuel Combustion",1.3
"117",1998,"AFG","Agriculture",11.75
"118",1998,"AFG","Transportation",0.55
"119",1998,"AFG","Waste",1.84
"120",1998,"AFG","Manufacturing/Construction",0.28
"121",1998,"AFG","Fugitive Emissions",0.09
"122",1998,"AFG","Industrial Processes",0.11
"123",1998,"AFG","Electricity/Heat",0.16
"124",1998,"AFG","Land-Use Change and Forestry",-2.39
"125",1998,"AFG","Building",0.01
"126",1998,"AFG","Bunker Fuels",0.02
"127",1999,"AFG","Total including LUCF",14.53
"128",1999,"AFG","Total excluding LUCF",16.91
"129",1999,"AFG","Energy",2.1
"130",1999,"AFG","Other Fuel Combustion",1.24
"131",1999,"AFG","Agriculture",12.79
"132",1999,"AFG","Transportation",0.35
"133",1999,"AFG","Waste",1.9
"134",1999,"AFG","Manufacturing/Construction",0.25
"135",1999,"AFG","Fugitive Emissions",0.09
"136",1999,"AFG","Industrial Processes",0.12
"137",1999,"AFG","Electricity/Heat",0.16
"138",1999,"AFG","Land-Use Change and Forestry",-2.39
"139",1999,"AFG","Building",0.01
"140",1999,"AFG","Bunker Fuels",0.02
"141",2000,"AFG","Total including LUCF",12.69
"142",2000,"AFG","Total excluding LUCF",15.08
"143",2000,"AFG","Energy",2.02
"144",2000,"AFG","Other Fuel Combustion",1.18
"145",2000,"AFG","Agriculture",10.99
"146",2000,"AFG","Transportation",0.36
"147",2000,"AFG","Waste",1.96
"148",2000,"AFG","Manufacturing/Construction",0.23
"149",2000,"AFG","Fugitive Emissions",0.09
"150",2000,"AFG","Industrial Processes",0.11
"151",2000,"AFG","Electricity/Heat",0.16
"152",2000,"AFG","Land-Use Change and Forestry",-2.39
"153",2000,"AFG","Building",0
"154",2000,"AFG","Bunker Fuels",0.02
"155",2001,"AFG","Total including LUCF",13.61
"156",2001,"AFG","Total excluding LUCF",13.49
"157",2001,"AFG","Energy",2.03
"158",2001,"AFG","Other Fuel Combustion",1.16
"159",2001,"AFG","Agriculture",9.28
"160",2001,"AFG","Transportation",0.38
"161",2001,"AFG","Waste",2.05
"162",2001,"AFG","Manufacturing/Construction",0.23
"163",2001,"AFG","Fugitive Emissions",0.08
"164",2001,"AFG","Industrial Processes",0.12
"165",2001,"AFG","Electricity/Heat",0.18
"166",2001,"AFG","Land-Use Change and Forestry",0.12
"167",2001,"AFG","Building",0
"168",2001,"AFG","Bunker Fuels",0.02
"169",2002,"AFG","Total including LUCF",16.21
"170",2002,"AFG","Total excluding LUCF",16.09
"171",2002,"AFG","Energy",2.29
"172",2002,"AFG","Other Fuel Combustion",1.14
"173",2002,"AFG","Agriculture",11.53
"174",2002,"AFG","Transportation",0.36
"175",2002,"AFG","Waste",2.15
"176",2002,"AFG","Manufacturing/Construction",0.56
"177",2002,"AFG","Fugitive Emissions",0.08
"178",2002,"AFG","Industrial Processes",0.12
"179",2002,"AFG","Electricity/Heat",0.15
"180",2002,"AFG","Land-Use Change and Forestry",0.12
"181",2002,"AFG","Building",0
"182",2002,"AFG","Bunker Fuels",0.02
"183",2003,"AFG","Total including LUCF",16.9
"184",2003,"AFG","Total excluding LUCF",16.78
"185",2003,"AFG","Energy",2.51
"186",2003,"AFG","Other Fuel Combustion",1.12
"187",2003,"AFG","Agriculture",11.89
"188",2003,"AFG","Transportation",0.57
"189",2003,"AFG","Waste",2.24
"190",2003,"AFG","Manufacturing/Construction",0.49
"191",2003,"AFG","Fugitive Emissions",0.07
"192",2003,"AFG","Industrial Processes",0.14
"193",2003,"AFG","Electricity/Heat",0.26
"194",2003,"AFG","Land-Use Change and Forestry",0.12
"195",2003,"AFG","Building",0
"196",2003,"AFG","Bunker Fuels",0.03
"197",2004,"AFG","Total including LUCF",16.64
"198",2004,"AFG","Total excluding LUCF",16.52
"199",2004,"AFG","Energy",2.27
"200",2004,"AFG","Other Fuel Combustion",1.1
"201",2004,"AFG","Agriculture",11.77
"202",2004,"AFG","Transportation",0.57
"203",2004,"AFG","Waste",2.33
"204",2004,"AFG","Manufacturing/Construction",0.24
"205",2004,"AFG","Fugitive Emissions",0.06
"206",2004,"AFG","Industrial Processes",0.14
"207",2004,"AFG","Electricity/Heat",0.24
"208",2004,"AFG","Land-Use Change and Forestry",0.12
"209",2004,"AFG","Building",0.04
"210",2004,"AFG","Bunker Fuels",0.04
"211",2005,"AFG","Total including LUCF",17.52
"212",2005,"AFG","Total excluding LUCF",17.4
"213",2005,"AFG","Energy",2.76
"214",2005,"AFG","Other Fuel Combustion",1.09
"215",2005,"AFG","Agriculture",12.07
"216",2005,"AFG","Transportation",0.94
"217",2005,"AFG","Waste",2.42
"218",2005,"AFG","Manufacturing/Construction",0.35
"219",2005,"AFG","Fugitive Emissions",0.06
"220",2005,"AFG","Industrial Processes",0.14
"221",2005,"AFG","Electricity/Heat",0.26
"222",2005,"AFG","Land-Use Change and Forestry",0.12
"223",2005,"AFG","Building",0.07
"224",2005,"AFG","Bunker Fuels",0.04
"225",2006,"AFG","Total including LUCF",21.16
"226",2006,"AFG","Total excluding LUCF",21.04
"227",2006,"AFG","Energy",6.32
"228",2006,"AFG","Other Fuel Combustion",4.12
"229",2006,"AFG","Agriculture",12.05
"230",2006,"AFG","Transportation",1.19
"231",2006,"AFG","Waste",2.5
"232",2006,"AFG","Manufacturing/Construction",0.35
"233",2006,"AFG","Fugitive Emissions",0.28
"234",2006,"AFG","Industrial Processes",0.16
"235",2006,"AFG","Electricity/Heat",0.28
"236",2006,"AFG","Land-Use Change and Forestry",0.12
"237",2006,"AFG","Building",0.1
"238",2006,"AFG","Bunker Fuels",0.04
"239",2007,"AFG","Total including LUCF",25
"240",2007,"AFG","Total excluding LUCF",24.88
"241",2007,"AFG","Energy",10
"242",2007,"AFG","Other Fuel Combustion",7.14
"243",2007,"AFG","Agriculture",12.12
"244",2007,"AFG","Transportation",1.29
"245",2007,"AFG","Waste",2.58
"246",2007,"AFG","Manufacturing/Construction",0.74
"247",2007,"AFG","Fugitive Emissions",0.5
"248",2007,"AFG","Industrial Processes",0.18
"249",2007,"AFG","Electricity/Heat",0.28
"250",2007,"AFG","Land-Use Change and Forestry",0.12
"251",2007,"AFG","Building",0.05
"252",2007,"AFG","Bunker Fuels",0.04
"253",2008,"AFG","Total including LUCF",31.66
"254",2008,"AFG","Total excluding LUCF",31.54
"255",2008,"AFG","Energy",15.28
"256",2008,"AFG","Other Fuel Combustion",10.17
"257",2008,"AFG","Agriculture",13.4
"258",2008,"AFG","Transportation",2.86
"259",2008,"AFG","Waste",2.66
"260",2008,"AFG","Manufacturing/Construction",1.21
"261",2008,"AFG","Fugitive Emissions",0.73
"262",2008,"AFG","Industrial Processes",0.2
"263",2008,"AFG","Electricity/Heat",0.24
"264",2008,"AFG","Land-Use Change and Forestry",0.12
"265",2008,"AFG","Building",0.07
"266",2008,"AFG","Bunker Fuels",0.03
"267",2009,"AFG","Total including LUCF",37.08
"268",2009,"AFG","Total excluding LUCF",36.96
"269",2009,"AFG","Energy",20.14
"270",2009,"AFG","Other Fuel Combustion",13.2
"271",2009,"AFG","Agriculture",13.86
"272",2009,"AFG","Transportation",3.9
"273",2009,"AFG","Waste",2.73
"274",2009,"AFG","Manufacturing/Construction",1.67
"275",2009,"AFG","Fugitive Emissions",0.95
"276",2009,"AFG","Industrial Processes",0.22
"277",2009,"AFG","Electricity/Heat",0.12
"278",2009,"AFG","Land-Use Change and Forestry",0.12
"279",2009,"AFG","Building",0.3
"280",2009,"AFG","Bunker Fuels",0.03
"281",2010,"AFG","Total including LUCF",45.03
"282",2010,"AFG","Total excluding LUCF",44.91
"283",2010,"AFG","Energy",26.06
"284",2010,"AFG","Other Fuel Combustion",16.23
"285",2010,"AFG","Agriculture",15.79
"286",2010,"AFG","Transportation",5.97
"287",2010,"AFG","Waste",2.81
"288",2010,"AFG","Manufacturing/Construction",2.39
"289",2010,"AFG","Fugitive Emissions",1.17
"290",2010,"AFG","Industrial Processes",0.25
"291",2010,"AFG","Electricity/Heat",0.14
"292",2010,"AFG","Land-Use Change and Forestry",0.12
"293",2010,"AFG","Building",0.16
"294",2010,"AFG","Bunker Fuels",0.03
"295",2011,"AFG","Total including LUCF",58.41
"296",2011,"AFG","Total excluding LUCF",58.65
"297",2011,"AFG","Energy",39.53
"298",2011,"AFG","Other Fuel Combustion",25.9
"299",2011,"AFG","Agriculture",15.9
"300",2011,"AFG","Transportation",7.79
"301",2011,"AFG","Waste",2.91
"302",2011,"AFG","Manufacturing/Construction",4.16
"303",2011,"AFG","Fugitive Emissions",1.38
"304",2011,"AFG","Industrial Processes",0.31
"305",2011,"AFG","Electricity/Heat",0.19
"306",2011,"AFG","Land-Use Change and Forestry",-0.25
"307",2011,"AFG","Building",0.11
"308",2011,"AFG","Bunker Fuels",0.03
"309",2012,"AFG","Total including LUCF",66.5
"310",2012,"AFG","Total excluding LUCF",66.75
"311",2012,"AFG","Energy",47.59
"312",2012,"AFG","Other Fuel Combustion",35.58
"313",2012,"AFG","Agriculture",15.78
"314",2012,"AFG","Transportation",6.98
"315",2012,"AFG","Waste",3
"316",2012,"AFG","Manufacturing/Construction",3.23
"317",2012,"AFG","Fugitive Emissions",1.58
"318",2012,"AFG","Industrial Processes",0.38
"319",2012,"AFG","Electricity/Heat",0.15
"320",2012,"AFG","Land-Use Change and Forestry",-0.25
"321",2012,"AFG","Building",0.08
"322",2012,"AFG","Bunker Fuels",0.03
"323",2013,"AFG","Total including LUCF",74.55
"324",2013,"AFG","Total excluding LUCF",74.8
"325",2013,"AFG","Energy",55.53
"326",2013,"AFG","Other Fuel Combustion",45.25
"327",2013,"AFG","Agriculture",15.72
"328",2013,"AFG","Transportation",4.85
"329",2013,"AFG","Waste",3.09
"330",2013,"AFG","Manufacturing/Construction",3.34
"331",2013,"AFG","Fugitive Emissions",1.78
"332",2013,"AFG","Industrial Processes",0.45
"333",2013,"AFG","Electricity/Heat",0.22
"334",2013,"AFG","Land-Use Change and Forestry",-0.25
"335",2013,"AFG","Building",0.08
"336",2013,"AFG","Bunker Fuels",0.03
"337",2014,"AFG","Total including LUCF",84.37
"338",2014,"AFG","Total excluding LUCF",84.62
"339",2014,"AFG","Energy",64.68
"340",2014,"AFG","Other Fuel Combustion",54.93
"341",2014,"AFG","Agriculture",16.22
"342",2014,"AFG","Transportation",3.87
"343",2014,"AFG","Waste",3.19
"344",2014,"AFG","Manufacturing/Construction",3.67
"345",2014,"AFG","Fugitive Emissions",1.98
"346",2014,"AFG","Industrial Processes",0.53
"347",2014,"AFG","Electricity/Heat",0.17
"348",2014,"AFG","Land-Use Change and Forestry",-0.25
"349",2014,"AFG","Building",0.06
"350",2014,"AFG","Bunker Fuels",0.03
"351",2015,"AFG","Total including LUCF",93.48
"352",2015,"AFG","Total excluding LUCF",93.73
"353",2015,"AFG","Energy",74.74
"354",2015,"AFG","Other Fuel Combustion",64.6
"355",2015,"AFG","Agriculture",15.11
"356",2015,"AFG","Transportation",4.88
"357",2015,"AFG","Waste",3.28
"358",2015,"AFG","Manufacturing/Construction",2.89
"359",2015,"AFG","Fugitive Emissions",2.18
"360",2015,"AFG","Industrial Processes",0.59
"361",2015,"AFG","Electricity/Heat",0.17
"362",2015,"AFG","Land-Use Change and Forestry",-0.25
"363",2015,"AFG","Building",0.02
"364",2015,"AFG","Bunker Fuels",0.03
"365",2016,"AFG","Total including LUCF",95.53
"366",2016,"AFG","Total excluding LUCF",95.37
"367",2016,"AFG","Energy",75.93
"368",2016,"AFG","Other Fuel Combustion",66.39
"369",2016,"AFG","Agriculture",15.32
"370",2016,"AFG","Transportation",4.16
"371",2016,"AFG","Waste",3.37
"372",2016,"AFG","Manufacturing/Construction",2.95
"373",2016,"AFG","Fugitive Emissions",2.19
"374",2016,"AFG","Industrial Processes",0.76
"375",2016,"AFG","Electricity/Heat",0.2
"376",2016,"AFG","Land-Use Change and Forestry",0.15
"377",2016,"AFG","Building",0.04
"378",2016,"AFG","Bunker Fuels",0.04
"379",2017,"AFG","Total including LUCF",97.45
"380",2017,"AFG","Total excluding LUCF",97.3
"381",2017,"AFG","Energy",77.72
"382",2017,"AFG","Other Fuel Combustion",68.18
"383",2017,"AFG","Agriculture",15.22
"384",2017,"AFG","Transportation",3.55
"385",2017,"AFG","Waste",3.45
"386",2017,"AFG","Manufacturing/Construction",3.44
"387",2017,"AFG","Fugitive Emissions",2.21
"388",2017,"AFG","Industrial Processes",0.91
"389",2017,"AFG","Electricity/Heat",0.21
"390",2017,"AFG","Land-Use Change and Forestry",0.15
"391",2017,"AFG","Building",0.13
"392",2017,"AFG","Bunker Fuels",0.04
"393",2018,"AFG","Total including LUCF",99.08
"394",2018,"AFG","Total excluding LUCF",98.92
"395",2018,"AFG","Energy",79.58
"396",2018,"AFG","Other Fuel Combustion",69.97
"397",2018,"AFG","Agriculture",14.74
"398",2018,"AFG","Transportation",3.73
"399",2018,"AFG","Waste",3.53
"400",2018,"AFG","Manufacturing/Construction",3.29
"401",2018,"AFG","Fugitive Emissions",2.22
"402",2018,"AFG","Industrial Processes",1.06
"403",2018,"AFG","Electricity/Heat",0.22
"404",2018,"AFG","Land-Use Change and Forestry",0.15
"405",2018,"AFG","Building",0.14
"406",2018,"AFG","Bunker Fuels",0.04
"407",1990,"AGO","Total including LUCF",65.18
"408",1990,"AGO","Total excluding LUCF",42.18
"409",1990,"AGO","Land-Use Change and Forestry",23
"410",1990,"AGO","Energy",11.4
"411",1990,"AGO","Agriculture",30.14
"412",1990,"AGO","Fugitive Emissions",7.25
"413",1990,"AGO","Electricity/Heat",0.48
"414",1990,"AGO","Transportation",1.02
"415",1990,"AGO","Building",0.64
"416",1990,"AGO","Bunker Fuels",1.06
"417",1990,"AGO","Waste",0.53
"418",1990,"AGO","Manufacturing/Construction",1.77
"419",1990,"AGO","Industrial Processes",0.11
"420",1990,"AGO","Other Fuel Combustion",0.26
"421",1991,"AGO","Total including LUCF",65.85
"422",1991,"AGO","Total excluding LUCF",42.84
"423",1991,"AGO","Land-Use Change and Forestry",23
"424",1991,"AGO","Energy",11.96
"425",1991,"AGO","Agriculture",30.22
"426",1991,"AGO","Fugitive Emissions",7.71
"427",1991,"AGO","Electricity/Heat",0.44
"428",1991,"AGO","Transportation",1.26
"429",1991,"AGO","Building",0.67
"430",1991,"AGO","Bunker Fuels",0.91
"431",1991,"AGO","Waste",0.54
"432",1991,"AGO","Manufacturing/Construction",1.63
"433",1991,"AGO","Industrial Processes",0.11
"434",1991,"AGO","Other Fuel Combustion",0.25
"435",1992,"AGO","Total including LUCF",66.17
"436",1992,"AGO","Total excluding LUCF",43.17
"437",1992,"AGO","Land-Use Change and Forestry",23
"438",1992,"AGO","Energy",12.15
"439",1992,"AGO","Agriculture",30.32
"440",1992,"AGO","Fugitive Emissions",8.01
"441",1992,"AGO","Electricity/Heat",0.37
"442",1992,"AGO","Transportation",1.19
"443",1992,"AGO","Building",0.61
"444",1992,"AGO","Bunker Fuels",0.84
"445",1992,"AGO","Waste",0.56
"446",1992,"AGO","Manufacturing/Construction",1.71
"447",1992,"AGO","Industrial Processes",0.13
"448",1992,"AGO","Other Fuel Combustion",0.26
"449",1993,"AGO","Total including LUCF",66.96
"450",1993,"AGO","Total excluding LUCF",43.95
"451",1993,"AGO","Land-Use Change and Forestry",23
"452",1993,"AGO","Energy",13.07
"453",1993,"AGO","Agriculture",30.19
"454",1993,"AGO","Fugitive Emissions",8.59
"455",1993,"AGO","Electricity/Heat",0.31
"456",1993,"AGO","Transportation",1.21
"457",1993,"AGO","Building",0.51
"458",1993,"AGO","Bunker Fuels",0.94
"459",1993,"AGO","Waste",0.58
"460",1993,"AGO","Manufacturing/Construction",2.19
"461",1993,"AGO","Industrial Processes",0.11
"462",1993,"AGO","Other Fuel Combustion",0.26
"463",1994,"AGO","Total including LUCF",67.1
"464",1994,"AGO","Total excluding LUCF",44.1
"465",1994,"AGO","Land-Use Change and Forestry",23
"466",1994,"AGO","Energy",13.22
"467",1994,"AGO","Agriculture",30.17
"468",1994,"AGO","Fugitive Emissions",8.78
"469",1994,"AGO","Electricity/Heat",0.38
"470",1994,"AGO","Transportation",1.54
"471",1994,"AGO","Building",0.62
"472",1994,"AGO","Bunker Fuels",1.34
"473",1994,"AGO","Waste",0.6
"474",1994,"AGO","Manufacturing/Construction",1.63
"475",1994,"AGO","Industrial Processes",0.11
"476",1994,"AGO","Other Fuel Combustion",0.27
"477",1995,"AGO","Total including LUCF",71.47
"478",1995,"AGO","Total excluding LUCF",48.46
"479",1995,"AGO","Land-Use Change and Forestry",23
"480",1995,"AGO","Energy",17.69
"481",1995,"AGO","Agriculture",30.06
"482",1995,"AGO","Fugitive Emissions",13.51
"483",1995,"AGO","Electricity/Heat",0.38
"484",1995,"AGO","Transportation",1.07
"485",1995,"AGO","Building",0.66
"486",1995,"AGO","Bunker Fuels",1.21
"487",1995,"AGO","Waste",0.62
"488",1995,"AGO","Manufacturing/Construction",1.8
"489",1995,"AGO","Industrial Processes",0.1
"490",1995,"AGO","Other Fuel Combustion",0.28
"491",1996,"AGO","Total including LUCF",73.33
"492",1996,"AGO","Total excluding LUCF",46.48
"493",1996,"AGO","Land-Use Change and Forestry",26.85
"494",1996,"AGO","Energy",18.51
"495",1996,"AGO","Agriculture",27.19
"496",1996,"AGO","Fugitive Emissions",14.04
"497",1996,"AGO","Electricity/Heat",0.41
"498",1996,"AGO","Transportation",0.99
"499",1996,"AGO","Building",0.91
"500",1996,"AGO","Bunker Fuels",1.06
"501",1996,"AGO","Waste",0.64
"502",1996,"AGO","Manufacturing/Construction",1.89
"503",1996,"AGO","Industrial Processes",0.14
"504",1996,"AGO","Other Fuel Combustion",0.29
"505",1997,"AGO","Total including LUCF",71.74
"506",1997,"AGO","Total excluding LUCF",46.68
"507",1997,"AGO","Land-Use Change and Forestry",25.06
"508",1997,"AGO","Energy",19.04
"509",1997,"AGO","Agriculture",26.82
"510",1997,"AGO","Fugitive Emissions",14.41
"511",1997,"AGO","Electricity/Heat",0.63
"512",1997,"AGO","Transportation",1.05
"513",1997,"AGO","Building",0.91
"514",1997,"AGO","Bunker Fuels",1.06
"515",1997,"AGO","Waste",0.66
"516",1997,"AGO","Manufacturing/Construction",1.74
"517",1997,"AGO","Industrial Processes",0.16
"518",1997,"AGO","Other Fuel Combustion",0.29
"519",1998,"AGO","Total including LUCF",79.62
"520",1998,"AGO","Total excluding LUCF",49.41
"521",1998,"AGO","Land-Use Change and Forestry",30.22
"522",1998,"AGO","Energy",18.87
"523",1998,"AGO","Agriculture",29.66
"524",1998,"AGO","Fugitive Emissions",14.84
"525",1998,"AGO","Electricity/Heat",0.59
"526",1998,"AGO","Transportation",0.83
"527",1998,"AGO","Building",1
"528",1998,"AGO","Bunker Fuels",0.68
"529",1998,"AGO","Waste",0.69
"530",1998,"AGO","Manufacturing/Construction",1.3
"531",1998,"AGO","Industrial Processes",0.19
"532",1998,"AGO","Other Fuel Combustion",0.31
"533",1999,"AGO","Total including LUCF",77.65
"534",1999,"AGO","Total excluding LUCF",48.77
"535",1999,"AGO","Land-Use Change and Forestry",28.87
"536",1999,"AGO","Energy",20.42
"537",1999,"AGO","Agriculture",27.5
"538",1999,"AGO","Fugitive Emissions",15.38
"539",1999,"AGO","Electricity/Heat",0.85
"540",1999,"AGO","Transportation",1.16
"541",1999,"AGO","Building",1.25
"542",1999,"AGO","Bunker Fuels",1.19
"543",1999,"AGO","Waste",0.71
"544",1999,"AGO","Manufacturing/Construction",1.48
"545",1999,"AGO","Industrial Processes",0.14
"546",1999,"AGO","Other Fuel Combustion",0.31
"547",2000,"AGO","Total including LUCF",73.29
"548",2000,"AGO","Total excluding LUCF",49.59
"549",2000,"AGO","Land-Use Change and Forestry",23.69
"550",2000,"AGO","Energy",20.37
"551",2000,"AGO","Agriculture",28.35
"552",2000,"AGO","Fugitive Emissions",15.42
"553",2000,"AGO","Electricity/Heat",0.94
"554",2000,"AGO","Transportation",1.07
"555",2000,"AGO","Building",1.05
"556",2000,"AGO","Bunker Fuels",1.43
"557",2000,"AGO","Waste",0.73
"558",2000,"AGO","Manufacturing/Construction",1.57
"559",2000,"AGO","Industrial Processes",0.14
"560",2000,"AGO","Other Fuel Combustion",0.32
"561",2001,"AGO","Total including LUCF",95.49
"562",2001,"AGO","Total excluding LUCF",51.73
"563",2001,"AGO","Land-Use Change and Forestry",43.76
"564",2001,"AGO","Energy",21.66
"565",2001,"AGO","Agriculture",28.97
"566",2001,"AGO","Fugitive Emissions",16.29
"567",2001,"AGO","Electricity/Heat",1.04
"568",2001,"AGO","Transportation",1.2
"569",2001,"AGO","Building",1.17
"570",2001,"AGO","Bunker Fuels",1.55
"571",2001,"AGO","Waste",0.8
"572",2001,"AGO","Manufacturing/Construction",1.62
"573",2001,"AGO","Industrial Processes",0.29
"574",2001,"AGO","Other Fuel Combustion",0.34
"575",2002,"AGO","Total including LUCF",100.57
"576",2002,"AGO","Total excluding LUCF",55.61
"577",2002,"AGO","Land-Use Change and Forestry",44.96
"578",2002,"AGO","Energy",23.25
"579",2002,"AGO","Agriculture",31.18
"580",2002,"AGO","Fugitive Emissions",17.39
"581",2002,"AGO","Electricity/Heat",1.05
"582",2002,"AGO","Transportation",1.48
"583",2002,"AGO","Building",1.19
"584",2002,"AGO","Bunker Fuels",1.33
"585",2002,"AGO","Waste",0.87
"586",2002,"AGO","Manufacturing/Construction",1.78
"587",2002,"AGO","Industrial Processes",0.31
"588",2002,"AGO","Other Fuel Combustion",0.37
"589",2003,"AGO","Total including LUCF",111.24
"590",2003,"AGO","Total excluding LUCF",65.37
"591",2003,"AGO","Land-Use Change and Forestry",45.86
"592",2003,"AGO","Energy",28.5
"593",2003,"AGO","Agriculture",35.57
"594",2003,"AGO","Fugitive Emissions",21.05
"595",2003,"AGO","Electricity/Heat",1.22
"596",2003,"AGO","Transportation",2.75
"597",2003,"AGO","Building",1.25
"598",2003,"AGO","Bunker Fuels",0.8
"599",2003,"AGO","Waste",0.95
"600",2003,"AGO","Manufacturing/Construction",1.83
"601",2003,"AGO","Industrial Processes",0.36
"602",2003,"AGO","Other Fuel Combustion",0.39
"603",2004,"AGO","Total including LUCF",114.92
"604",2004,"AGO","Total excluding LUCF",67.74
"605",2004,"AGO","Land-Use Change and Forestry",47.18
"606",2004,"AGO","Energy",30.65
"607",2004,"AGO","Agriculture",35.69
"608",2004,"AGO","Fugitive Emissions",22.53
"609",2004,"AGO","Electricity/Heat",0.86
